school,sex,age,address,famsize,pstatus,medu,fedu,mjob,fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3,PCA1,PCA2,Cluster,Recommendation,Suggested_Tool_or_Resource
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,-0.7159512153322786,-0.8724132081286922,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,yes,yes,no,5,5,5,2,4,5,16,6,5,5,-4.5572999079525705,1.7884982343801994,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10,-0.9200186558317612,-0.8277571408714578,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,1.6663253919766108,-1.0838325120134809,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,1.4513321793886025,-1.0368452388951728,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,2.166629324607369,-0.1465150383025113,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,0.9762838726949082,-0.732690054191691,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,9,8,-0.4513708351971872,-1.6990475873839053,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8,-2.848964642776417,0.8902838779269835,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,2,2,1,2,5,2,12,12,11,0.3873873690481471,-1.2038398891590842,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,2,2,4,2,4,1,4,15,16,15,2.078608515308669,-0.4603696207360918,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11,11,11,0.1062454430464651,-0.6184002551495017,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,-0.0809829591167362,0.4958328243589318,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,0.070947481048902,-1.5914833029316098,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,2.9622338830506894,-0.6775618332628767,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,2.8260811039502376,-0.7257331259654396,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,-0.266611572545981,-1.6955697360004602,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,no,yes,yes,no,5,4,3,1,1,5,0,12,14,15,1.1697489974082549,-0.541188902965694,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,-1.7775456099077096,-2.09956788335349,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,2.9245855052881025,-0.5904848560840982,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,2.324401197561797,0.27715886855572,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,R,GT3,T,3,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,5,2,12,12,11,0.7955222500471126,-1.293152023673553,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,13,1.0833430786483005,-0.3965823202575391,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,LE3,T,2,2,other,other,home,mother,2,2,1,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,25,7,10,11,-1.561530503660015,1.5920901279379485,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,0.435388833111261,-0.5997176596328412,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,3.744120997661794,-0.235900695481386,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,-0.9334650736522728,-1.8055026003757129,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,-1.1494980791006857,0.6291369991677412,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,-1.5276966153714986,-1.3497472153808558,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,0.1520269970831934,0.1760764800803668,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,4.44022776470856,0.5585207092099008,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,T,4,2,teacher,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,no,no,4,3,3,2,2,5,2,15,15,14,2.0125903076336344,-0.791722779102078,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,U,GT3,T,4,4,services,teacher,other,father,1,2,1,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,7,7,7,-2.1399116267843934,-1.4402319144857367,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,F,16,U,LE3,T,2,2,services,services,course,mother,3,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,2,3,4,2,12,13,13,0.9088104672745428,-0.5500793961517897,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,U,LE3,T,4,2,health,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,3,3,1,1,5,2,11,13,13,0.8528345956600072,-1.1498221651501193,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,LE3,A,4,2,health,health,other,father,2,1,1,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,6,11,11,10,-0.644052058961214,-0.4640822789629578,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,GT3,T,4,4,services,services,course,mother,1,1,0,yes,yes,yes,no,yes,yes,yes,no,3,3,4,2,3,5,0,8,10,11,-0.6068317921459154,-1.6990849614457888,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,LE3,A,3,3,other,other,other,mother,1,1,0,no,no,yes,no,yes,yes,yes,no,5,3,4,4,4,1,6,10,13,13,0.415757198960595,-0.7854097536143196,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,A,2,1,other,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,yes,5,3,4,1,1,2,8,8,9,10,-0.9380353994436824,-0.5549880697112011,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,GT3,A,4,3,services,services,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,2,1,1,1,0,14,15,15,2.003884445571494,-0.9797460789446304,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,1.9451169022132688,-0.6091121210621767,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,-0.5302112686847441,-1.6038890215630344,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,4,2,services,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,2,3,1,1,5,2,15,16,16,2.3299459653605474,-0.0933062188375491,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,-0.0973807414743519,-0.4839608898121635,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,-0.7913981042333706,-0.5989312809498154,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,-0.8521039944327302,-0.9205845008312552,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,4,3,teacher,health,home,mother,1,3,0,yes,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9,-0.4334845973239047,-1.1020111392869014,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,-0.1904323050634754,-1.6901570941978097,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,2.204718958348621,-0.1438087174011858,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,1.4439177515628174,-1.0002333862181472,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,16,U,GT3,T,3,1,services,other,course,mother,1,4,0,yes,yes,yes,no,yes,yes,yes,no,4,3,3,1,2,5,4,7,7,6,-1.51661978583636,-1.3649145854521878,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,R,LE3,T,2,2,health,services,reputation,mother,2,2,0,yes,yes,yes,no,yes,yes,yes,no,4,1,3,1,3,4,2,8,9,8,-1.003923101380079,-1.756146747334448,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,2.8836709420328237,0.245978999563563,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,16,U,GT3,T,3,1,other,other,reputation,father,2,4,0,no,yes,yes,no,yes,yes,yes,no,4,3,2,1,1,5,0,13,15,15,2.119510372501586,-0.5710706716685464,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,0.21770257593549,-1.7794692287122782,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,R,GT3,T,1,1,other,other,reputation,mother,1,2,2,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,8,6,5,-2.900251464852572,-1.01752432766685,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,0.6775791651223331,-0.5104608556569545,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,3,3,other,services,home,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11,-0.4650322081781707,4.067733037846126,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,4,3,teacher,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,3,2,3,5,6,9,9,10,-0.6161426736956963,-1.23829259044298,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,0.4377265428139229,-0.9341148798785208,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,2,2,other,other,reputation,mother,1,4,0,no,no,yes,no,yes,yes,yes,yes,5,2,3,1,3,3,0,11,11,11,0.5731478674036559,-1.078346347546424,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,-2.8324148627535783,0.993517530907091,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,-2.853560639841994,-0.7906786940130764,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,M,15,U,GT3,T,2,3,other,services,course,father,1,1,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,2,1,3,3,2,10,12,12,0.1750553224651898,-1.257423823664298,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,GT3,T,2,3,other,other,home,mother,1,3,0,yes,no,yes,no,no,yes,yes,no,5,3,2,1,2,5,4,11,10,11,0.2652627840199382,-1.265130297266139,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,LE3,T,3,2,services,other,reputation,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,4,4,4,1,1,5,10,7,6,6,-2.0579560813986726,-1.321725488973442,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,2.119359315054973,-0.5582345074582883,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,-0.3940584895842925,-1.555717728860471,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,GT3,T,4,4,services,services,reputation,father,2,2,2,no,no,yes,no,yes,yes,yes,yes,4,4,4,2,3,5,6,7,9,8,-2.2348531614916105,-0.3936276468857099,1,Maintain consistent effort; try time management techniques.,"Try Google Calendar, Trello for tracking assignments."
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,-1.750512253993621,-1.2247248373338304,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,1.6754725100174166,-0.8060259140908247,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,M,16,U,GT3,T,2,2,services,other,reputation,father,2,2,1,no,no,yes,yes,no,yes,yes,no,4,4,2,1,1,3,12,11,10,10,-0.8097191154794168,0.542868926532966,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,-1.983362517400136,0.0674564884923569,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,3,3,other,other,home,mother,1,3,0,no,yes,yes,no,yes,yes,yes,yes,4,3,3,1,3,4,0,7,7,8,-1.3896141247767146,-1.5945498906722808,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,15,U,GT3,T,4,3,services,other,reputation,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,4,5,5,1,3,1,4,16,17,18,2.8246259062049077,-0.2117693095595522,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,-2.088071307588504,-1.328811270402681,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,4,2,teacher,services,home,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10,-0.13445643344894,-1.0904143251994802,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,1.3383547124011994,-0.8203290490795715,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,15,R,GT3,T,1,1,at_home,other,home,mother,2,4,1,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,2,7,10,10,-0.8333684862245372,-1.2254037124976302,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,M,16,R,GT3,T,4,3,services,other,reputation,mother,2,1,0,yes,yes,no,yes,no,yes,yes,no,3,3,3,1,1,4,2,11,15,15,1.1294394536406165,-0.3535407181633937,0,Focus on improving study habits and reduce social distractions.,"Use Pomodoro timer apps, basic revision planners."
GP,F,16,U,GT3,T,2,1,other,other,course,mother,1,2,0,no,yes,yes,no,yes,yes,no,yes,4,3,5,1,1,5,2,8,9,10,-0.8498840844063446,-1.110939006534881,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,0.7712024904287608,-0.0842868724484654,2,Great academic potential; explore leadership or mentor roles.,Explore Coursera or advanced subject-specific projects.
